Date,Time,Open,High,Low,Close,Volume
20211202,1358,29850,29850,29850,29850,3
20211202,1355,29850,29850,29850,29850,3
20211202,1349,29840,29840,29840,29840,49
20211202,1342,29830,29830,29830,29830,24
20211202,1326,29810,29810,29810,29810,30
20211202,1323,29815,29815,29815,29815,198
20211202,1319,29825,29825,29825,29825,2
20211202,1318,29825,29825,29825,29825,17
20211202,1317,29845,29845,29825,29825,69
20211202,1316,29825,29825,29825,29825,5
20211202,1304,29820,29820,29820,29820,18
20211202,1248,29760,29785,29760,29785,56
20211202,1235,29785,29785,29785,29785,21
20211202,1219,29820,29830,29820,29830,48
20211202,1213,29830,29830,29830,29830,21
20211202,1200,29855,29855,29855,29855,1
20211202,1159,29810,29810,29810,29810,70
20211202,1155,29785,29785,29785,29785,5
20211202,1154,29775,29775,29775,29775,6
20211202,1149,29780,29780,29780,29780,5
20211202,1147,29780,29780,29780,29780,3
20211202,1146,29780,29785,29780,29780,94
20211202,1145,29780,29780,29780,29780,4
20211202,1144,29775,29775,29775,29775,5
20211202,1143,29825,29825,29825,29825,1
20211202,1141,29830,29830,29830,29830,1
20211202,1137,29780,29780,29780,29780,15
20211202,1135,29780,29780,29780,29780,61
20211202,1122,29725,29725,29725,29725,17
20211202,1118,29735,29735,29735,29735,1
20211202,1112,29750,29750,29750,29750,3
20211202,1106,29755,29755,29755,29755,6
20211202,1104,29750,29750,29750,29750,10
20211202,1102,29780,29810,29775,29810,12
20211202,1101,29745,29745,29745,29745,1
20211202,1057,29705,29715,29705,29715,28
20211202,1051,29700,29700,29700,29700,10
20211202,1045,29700,29700,29700,29700,61
20211202,1044,29685,29685,29685,29685,6
20211202,1040,29630,29630,29630,29630,3
20211202,1039,29625,29625,29625,29625,3
20211202,1037,29615,29615,29615,29615,9
20211202,1030,29625,29625,29625,29625,3
20211202,1027,29590,29630,29590,29630,92
20211202,1026,29560,29560,29560,29560,16
20211202,1016,29565,29565,29565,29565,109
20211202,1008,29515,29515,29515,29515,15
20211202,956,29425,29425,29425,29425,6
20211202,955,29400,29400,29400,29400,2
20211202,951,29435,29435,29435,29435,6
20211202,948,29445,29445,29445,29445,990
20211202,946,29565,29565,29555,29555,27
20211202,945,29565,29565,29565,29565,4
20211202,942,29630,29630,29630,29630,10
20211202,933,29700,29700,29700,29700,7
20211202,932,29650,29710,29650,29710,42
20211202,930,29650,29650,29650,29650,10
20211202,927,29650,29650,29650,29650,7
20211202,921,29540,29540,29540,29540,6
20211202,918,29500,29500,29500,29500,5
20211202,915,29505,29505,29505,29505,7
20211202,913,29495,29500,29495,29500,4
20211202,911,29400,29400,29375,29375,300
20211202,907,29435,29435,29435,29435,1
20211202,906,29430,29430,29430,29430,1
20211202,905,29300,29300,29300,29300,14
20211202,902,29400,29495,29400,29495,340
20211201,1530,29545,29545,29545,29545,1
20211201,1518,29480,29480,29480,29480,1144
20211201,1514,29570,29570,29570,29570,7
20211201,1513,29520,29520,29520,29520,7
20211201,1505,29480,29480,29480,29480,21
20211201,1502,29500,29500,29500,29500,10
20211201,1455,29520,29520,29520,29520,32
20211201,1454,29545,29570,29545,29570,10
20211201,1453,29560,29570,29560,29570,10
20211201,1452,29515,29520,29515,29520,19
20211201,1450,29515,29520,29515,29520,19
20211201,1449,29510,29510,29510,29510,7
20211201,1447,29500,29500,29500,29500,21
20211201,1441,29490,29490,29490,29490,55
20211201,1439,29495,29495,29495,29495,1
20211201,1432,29500,29500,29500,29500,6
20211201,1429,29515,29515,29515,29515,1
20211201,1424,29515,29515,29515,29515,21
20211201,1418,29485,29555,29485,29555,29
20211201,1410,29480,29480,29480,29480,18
20211201,1407,29490,29490,29490,29490,10
20211201,1401,29460,29460,29460,29460,63
20211201,1342,29490,29500,29490,29500,483
20211201,1337,29470,29485,29470,29485,38
20211201,1331,29480,29480,29480,29480,21
20211201,1328,29490,29490,29490,29490,1
20211201,1326,29495,29495,29495,29495,27
20211201,1317,29475,29475,29475,29475,42
20211201,1304,29480,29480,29480,29480,7
20211201,1302,29450,29520,29450,29500,22
20211201,1300,29435,29435,29435,29435,21
20211201,1255,29435,29435,29435,29435,7
20211201,1252,29365,29365,29365,29365,30
20211201,1250,29370,29370,29370,29370,12
20211201,1240,29360,29360,29360,29360,28
20211201,1236,29305,29305,29305,29305,23
20211201,1232,29410,29410,29410,29410,175
20211201,1231,29415,29415,29415,29415,11
20211201,1230,29410,29410,29410,29410,10
20211201,1228,29325,29415,29325,29410,138
20211201,1223,29325,29325,29325,29325,16
20211201,1220,29330,29330,29330,29330,5
20211201,1216,29315,29315,29315,29315,16
20211201,1212,29325,29325,29325,29325,5
20211201,1208,29305,29310,29305,29310,25
20211201,1205,29315,29315,29315,29315,11
20211201,1203,29320,29320,29320,29320,5
20211201,1202,29320,29320,29320,29320,10
20211201,1157,29295,29295,29295,29295,67
20211201,1145,29290,29290,29265,29265,10
20211201,1142,29320,29320,29320,29320,10
20211201,1137,29350,29350,29350,29350,10
20211201,1132,29290,29290,29290,29290,28
20211201,1123,29225,29310,29225,29310,25
20211201,1122,29220,29220,29220,29220,2
20211201,1121,29210,29215,29210,29215,4
20211201,1119,29205,29205,29205,29205,2
20211201,1118,29195,29200,29195,29200,10
20211201,1112,29195,29195,29195,29195,3
20211201,1110,29190,29190,29190,29190,7
20211201,1107,29170,29170,29170,29170,10
20211201,1106,29175,29175,29170,29170,14
20211201,1105,29175,29185,29175,29185,8
20211201,1104,29170,29170,29170,29170,200
20211201,1054,29095,29095,29095,29095,14
20211201,1052,29150,29150,29150,29150,3
20211201,1050,29170,29170,29170,29170,34
20211201,1039,29175,29180,29175,29180,3
20211201,1031,29075,29075,29075,29075,10
20211201,1030,29155,29155,29155,29155,10
20211201,1024,29145,29145,29145,29145,30
20211201,1021,29150,29150,29145,29145,55
20211201,1019,29160,29160,29160,29160,50
20211201,1014,29160,29160,29160,29160,15
20211201,1007,29060,29115,29060,29115,20
20211201,1001,29030,29030,29010,29010,39
20211201,955,29115,29115,29115,29115,4
20211201,952,29140,29140,29140,29140,68
20211201,950,29115,29115,29115,29115,99
20211201,948,29175,29175,29175,29175,261
20211201,945,29050,29050,29050,29050,5
20211201,940,29025,29025,29025,29025,10
20211201,934,29090,29090,29090,29090,34
20211201,919,28900,28900,28900,28900,3
20211201,911,29030,29030,29030,29030,6
20211201,910,29030,29030,29030,29030,4
20211201,908,29000,29000,29000,29000,1
20211201,907,29035,29035,29035,29035,1
20211201,906,29070,29070,29070,29070,174
20211201,902,29070,29070,29070,29070,26
20211201,901,29070,29070,29070,29070,4
20211130,1520,28740,28740,28740,28740,10
20211130,1519,28755,28755,28740,28740,379
20211130,1518,28670,28725,28670,28725,7
20211130,1517,28675,28680,28670,28670,20
20211130,1516,28640,28640,28640,28640,7
20211130,1515,28610,28610,28610,28610,20
20211130,1514,28615,28615,28610,28610,14
20211130,1513,28640,28640,28620,28620,44
20211130,1512,28660,28660,28645,28645,110
20211130,1511,28665,28675,28665,28675,20
20211130,1508,28700,28700,28700,28700,4
20211130,1507,28700,28700,28675,28700,12
20211130,1506,28710,28710,28700,28700,69
20211130,1505,28735,28735,28720,28720,27
20211130,1503,28750,28750,28720,28720,51
20211130,1502,28790,28790,28765,28765,172
20211130,1501,28810,28810,28810,28810,100
20211130,1459,28810,28815,28810,28810,107
20211130,1454,28865,28865,28855,28855,77
20211130,1453,28890,28890,28890,28890,59
20211130,1450,28780,28780,28775,28775,8
20211130,1449,28785,28785,28785,28785,1
20211130,1446,28840,28840,28835,28835,15
20211130,1445,28840,28840,28840,28840,1
20211130,1443,28875,28875,28860,28860,84
20211130,1439,28890,28890,28875,28875,19
20211130,1438,28920,28920,28895,28895,46
20211130,1435,28915,28915,28915,28915,7
20211130,1427,28900,28910,28900,28910,81
20211130,1426,28910,28910,28905,28905,14
20211130,1425,28950,28950,28950,28950,10
20211130,1421,28980,28980,28980,28980,20
20211130,1420,29005,29005,28990,28990,65
20211130,1419,29005,29005,29005,29005,90
20211130,1417,29030,29030,29005,29005,27
20211130,1416,29035,29035,29035,29035,6
20211130,1415,29050,29050,29035,29035,125
20211130,1414,29055,29055,29055,29055,4
20211130,1413,29070,29080,29060,29080,52
20211130,1409,29105,29105,29080,29080,142
20211130,1407,29085,29085,29085,29085,6
20211130,1406,29100,29100,29085,29085,20
20211130,1404,29140,29140,29140,29140,80
20211130,1357,29160,29160,29160,29160,20
20211130,1356,29160,29160,29160,29160,20
20211130,1355,29090,29090,29090,29090,430
20211130,1354,29090,29090,29090,29090,30
20211130,1353,29090,29090,29090,29090,10
20211130,1350,29090,29090,29090,29090,7
20211130,1348,29090,29090,29090,29090,2
20211130,1338,29085,29085,29085,29085,9
20211130,1337,29090,29090,29090,29090,14
20211130,1336,29095,29095,29090,29090,14
20211130,1335,29105,29105,29100,29100,17
20211130,1334,29115,29115,29105,29105,12
20211130,1330,29110,29110,29110,29110,7
20211130,1329,29100,29100,29100,29100,6
20211130,1327,29125,29125,29110,29110,21
20211130,1323,29155,29155,29155,29155,1
20211130,1313,29110,29110,29110,29110,60
20211130,1311,29130,29130,29115,29115,54
20211130,1303,29140,29140,29140,29140,10
20211130,1254,29060,29070,29060,29070,218
20211130,1251,29070,29070,29070,29070,5
20211130,1250,29070,29070,29070,29070,6
20211130,1248,29060,29060,29050,29050,30
20211130,1245,29070,29070,29070,29070,30
20211130,1244,29050,29050,29050,29050,16
20211130,1241,29055,29055,29055,29055,7
20211130,1240,29070,29070,29070,29070,16
20211130,1238,29070,29070,29070,29070,17
20211130,1237,29070,29070,29070,29070,10
20211130,1236,29050,29050,29045,29045,9
20211130,1234,29030,29045,29030,29045,14
20211130,1233,29040,29040,29040,29040,1
20211130,1232,29045,29045,29045,29045,7
20211130,1231,29050,29050,29045,29045,17
20211130,1229,29050,29050,29050,29050,1
20211130,1224,29055,29055,29055,29055,7
20211130,1223,29080,29080,29080,29080,3
20211130,1222,29060,29060,29060,29060,10
20211130,1221,29060,29060,29060,29060,36
20211130,1220,29075,29075,29075,29075,1
20211130,1216,29110,29110,29090,29110,193
20211130,1215,29110,29110,29110,29110,38
20211130,1213,29115,29115,29115,29115,7
20211130,1209,29115,29115,29115,29115,7
20211130,1207,29105,29105,29105,29105,7
20211130,1206,29110,29110,29110,29110,6
20211130,1205,29120,29120,29120,29120,7
20211130,1204,29110,29110,29110,29110,7
20211130,1203,29130,29130,29130,29130,1
20211130,1202,29120,29120,29120,29120,6
20211130,1201,29110,29110,29110,29110,42
20211130,1158,29110,29110,29110,29110,6
20211130,1157,29115,29115,29115,29115,30
20211130,1156,29115,29115,29115,29115,7
20211130,1155,29120,29120,29120,29120,7
20211130,1153,29120,29120,29120,29120,3
20211130,1150,29140,29140,29140,29140,5
20211130,1149,29120,29120,29115,29115,14
20211130,1132,29090,29090,29090,29090,3
20211130,1131,29090,29090,29090,29090,1
20211130,1127,29160,29160,29155,29155,8
20211130,1125,29195,29195,29170,29170,3
20211130,1123,29205,29205,29200,29200,8
20211130,1122,29235,29235,29220,29220,9
20211130,1120,29240,29240,29235,29235,43
20211130,1119,29245,29245,29245,29245,7
20211130,1118,29260,29260,29250,29250,21
20211130,1117,29265,29265,29265,29265,7
20211130,1116,29265,29265,29265,29265,2
20211130,1113,29265,29265,29265,29265,5
20211130,1100,29300,29300,29300,29300,1
20211130,1058,29320,29320,29315,29315,70
20211130,1057,29325,29325,29325,29325,6
20211130,1056,29345,29345,29330,29330,31
20211130,1055,29355,29355,29350,29350,14
20211130,1049,29345,29345,29345,29345,1
20211130,1046,29365,29365,29345,29345,44
20211130,1040,29400,29400,29400,29400,13
20211130,1024,29335,29335,29335,29335,10
20211130,1023,29345,29345,29340,29340,13
20211130,1020,29415,29415,29405,29405,14
20211130,1019,29420,29420,29420,29420,7
20211130,1010,29485,29490,29475,29485,28
20211130,1004,29485,29485,29480,29480,12
20211130,958,29490,29490,29485,29485,14
20211130,932,29520,29520,29515,29515,55
20211130,928,29615,29615,29615,29615,6
20211130,926,29615,29615,29615,29615,2
20211130,922,29550,29550,29550,29550,1
20211130,901,29630,29630,29515,29515,180
20211129,1511,29315,29315,29315,29315,200
20211129,1501,29315,29315,29315,29315,4
20211129,1458,29315,29315,29315,29315,7
20211129,1446,29280,29280,29280,29280,6
20211129,1438,29280,29280,29280,29280,13
20211129,1434,29280,29280,29280,29280,1
20211129,1427,29335,29335,29335,29335,3
20211129,1426,29340,29340,29340,29340,50
20211129,1424,29340,29340,29340,29340,8
